subject,movedur,effmass,distance ,metpowernet,metpowergross,speed,
7,0.670,11.5,0.1,92.7,162.45,3,
7,0.854,11.5,0.1,51.6,121.32,4,
7,1.038,11.5,0.1,32.4,102.19,5,
7,1.231,11.5,0.1,47.2,117.01,6,
7,1.393,11.5,0.1,29.4,99.12,7,
8,0.500,2.47,0.1,171,236.55,1,
8,0.547,2.47,0.1,104,170.11,2,
8,0.659,2.47,0.1,40.9,106.92,3,
8,0.822,2.47,0.1,29,95.04,4,
8,0.938,2.47,0.1,46.9,112.85,5,
8,1.140,2.47,0.1,41,107.01,6,
8,0.536,4.73,0.1,173,233.29,1,
8,0.568,4.73,0.1,127,187.17,2,
8,0.671,4.73,0.1,64,124.08,3,
8,0.833,4.73,0.1,40.2,100.33,4,
8,0.999,4.73,0.1,55,115.13,5,
8,1.140,4.73,0.1,24.1,84.26,6,
8,0.584,6.99,0.1,123,188.58,2,
8,0.661,6.99,0.1,79.9,145.90,3,
8,0.831,6.99,0.1,35.1,101.05,4,
8,0.982,6.99,0.1,47.2,113.17,5,
8,1.151,6.99,0.1,12.8,78.82,6,
8,1.268,6.99,0.1,38.6,104.57,7,
8,0.607,11.5,0.1,126,185.88,2,
8,0.686,11.5,0.1,91.1,151.26,3,
8,0.831,11.5,0.1,68.8,128.90,4,
8,0.999,11.5,0.1,42.8,102.89,5,
8,1.163,11.5,0.1,32.9,93.02,6,
8,1.312,11.5,0.1,31.1,91.27,7,
